0.00000 , 0.00000 
-0.00002 , 0.00001 
-0.00002 , 0.00001 
-0.00002 , 0.00001 
-0.00002 , 0.00001 
0.00015 , 0.00001 
0.00077 , 0.00001 
0.00147 , 0.00002 
0.00232 , 0.00004 
0.00361 , 0.00007 
0.00525 , 0.00012 
0.00739 , 0.00019 
0.01019 , 0.00029 
0.01347 , 0.00042 
0.01732 , 0.00060 
0.02178 , 0.00083 
0.02631 , 0.00108 
0.03097 , 0.00136 
0.03587 , 0.00167 
0.04045 , 0.00199 
0.04462 , 0.00231 
0.04850 , 0.00262 
0.05212 , 0.00294 
0.05577 , 0.00327 
0.05962 , 0.00363 
0.06333 , 0.00399 
0.06708 , 0.00436 
0.07110 , 0.00478 
0.07521 , 0.00522 
0.07958 , 0.00569 
0.08450 , 0.00622 
0.08936 , 0.00672 
0.09427 , 0.00723 
0.09928 , 0.00774 
0.10419 , 0.00825 
0.10906 , 0.00875 
0.11412 , 0.00927 
0.11899 , 0.00977 
0.12391 , 0.01027 
0.12893 , 0.01079 
0.13386 , 0.01130 
0.13876 , 0.01180 
0.14359 , 0.01231 
0.14788 , 0.01277 
0.15204 , 0.01323 
0.15631 , 0.01373 
0.16050 , 0.01424 
0.16465 , 0.01475 
0.16896 , 0.01530 
0.17324 , 0.01586 
0.17774 , 0.01645 
0.18257 , 0.01708 
0.18720 , 0.01767 
0.19190 , 0.01827 
0.19666 , 0.01889 
0.20136 , 0.01949 
0.20598 , 0.02008 
0.21083 , 0.02071 
0.21545 , 0.02130 
0.22016 , 0.02190 
0.22492 , 0.02252 
0.22963 , 0.02312 
0.23427 , 0.02372 
0.23910 , 0.02434 
0.24374 , 0.02493 
0.24841 , 0.02553 
0.25317 , 0.02614 
0.25784 , 0.02674 
0.26244 , 0.02733 
0.26717 , 0.02794 
0.27185 , 0.02854 
0.27647 , 0.02914 
0.28134 , 0.02977 
0.28595 , 0.03036 
0.29067 , 0.03098 
0.29542 , 0.03159 
0.30015 , 0.03220 
0.30476 , 0.03280 
0.30963 , 0.03343 
0.31424 , 0.03403 
0.31897 , 0.03465 
0.32373 , 0.03526 
0.32846 , 0.03588 
0.33309 , 0.03648 
0.33796 , 0.03711 
0.34264 , 0.03772 
0.34737 , 0.03833 
0.35219 , 0.03896 
0.35693 , 0.03958 
0.36161 , 0.04019 
0.36641 , 0.04081 
0.37103 , 0.04142 
0.37568 , 0.04203 
0.38046 , 0.04266 
0.38510 , 0.04327 
0.38974 , 0.04388 
0.39452 , 0.04451 
0.39915 , 0.04512 
0.40379 , 0.04573 
0.40856 , 0.04635 
0.41321 , 0.04696 
0.41784 , 0.04757 
0.42263 , 0.04820 
0.42727 , 0.04882 
0.43192 , 0.04943 
0.43670 , 0.05006 
0.44136 , 0.05067 
0.44600 , 0.05128 
0.45079 , 0.05191 
0.45543 , 0.05252 
0.46008 , 0.05313 
0.46485 , 0.05376 
0.46943 , 0.05436 
0.47401 , 0.05497 
0.47885 , 0.05561 
0.48347 , 0.05622 
0.48822 , 0.05685 
0.49296 , 0.05747 
0.49771 , 0.05810 
0.50231 , 0.05871 
0.50722 , 0.05936 
0.51182 , 0.05997 
0.51658 , 0.06060 
0.52132 , 0.06123 
0.52608 , 0.06186 
0.53070 , 0.06248 
0.53560 , 0.06313 
0.54024 , 0.06374 
0.54495 , 0.06437 
0.54974 , 0.06500 
0.55444 , 0.06562 
0.55908 , 0.06623 
0.56392 , 0.06687 
0.56856 , 0.06749 
